Bucket Type,Count,Local Extrema Closes,Local Extrema Type,First Local Extrema Datetime,Last Local Extrema Datetime
SB,9,[43541.2],['Max'],2024-01-30 20:00:00,2024-01-30 20:00:00
SB,8,[],[],,
SB,1,[43213.4],['Max'],2024-02-03 00:00:00,2024-02-03 00:00:00
SB,9,"[42729.7, 43041.6]","['Min', 'Max']",2024-02-04 06:00:00,2024-02-04 11:00:00
SB,1,[],[],,
SB,1,[],[],,
SB,4,[46272.9],['Max'],2024-02-09 02:00:00,2024-02-09 02:00:00
SB,2,[],[],,
SB,4,[],[],,
SB,5,[],[],,
SB,4,[],[],,
SB,10,[51608.9],['Min'],2024-02-20 03:00:00,2024-02-20 03:00:00
SB,1,[],[],,
SB,2,[61203.3],['Min'],2024-02-29 23:00:00,2024-02-29 23:00:00
SB,1,[],[],,
SB,3,[62510.2],['Max'],2024-03-01 13:00:00,2024-03-01 13:00:00
SB,6,[62936.9],['Max'],2024-03-01 20:00:00,2024-03-01 20:00:00
SB,3,[],[],,
SB,7,"[63747.4, 62851.5]","['Max', 'Min']",2024-03-05 23:00:00,2024-03-06 02:00:00
SB,7,"[69116.6, 67971.7]","['Max', 'Min']",2024-03-08 20:00:00,2024-03-09 01:00:00
SB,1,[],[],,
SB,4,[],[],,
SB,6,"[73399.9, 72900.0]","['Max', 'Min']",2024-03-13 19:00:00,2024-03-14 00:00:00
SB,3,"[67477.3, 68708.4]","['Min', 'Max']",2024-03-15 04:00:00,2024-03-15 06:00:00
SB,3,[67906.5],['Min'],2024-03-15 20:00:00,2024-03-15 20:00:00
SB,8,"[68230.0, 68575.5, 67360.8]","['Min', 'Max', 'Min']",2024-03-17 18:00:00,2024-03-18 00:00:00
SB,3,[],[],,
SB,3,[65284.2],['Min'],2024-03-22 01:00:00,2024-03-22 01:00:00
SB,1,[],[],,
SB,5,[66855.9],['Min'],2024-03-25 11:00:00,2024-03-25 11:00:00
SB,1,[],[],,
SB,4,[],[],,
SB,2,[],[],,
SB,11,"[69932.2, 68281.0]","['Max', 'Min']",2024-04-01 13:00:00,2024-04-01 15:00:00
SB,4,[66297.5],['Max'],2024-04-04 00:00:00,2024-04-04 00:00:00
SB,1,[],[],,
SB,4,[67400.0],['Min'],2024-04-05 19:00:00,2024-04-05 19:00:00
SB,3,[],[],,
SB,1,[],[],,
SB,1,[],[],,
SB,3,"[61828.3, 64288.5]","['Min', 'Max']",2024-04-13 20:00:00,2024-04-13 22:00:00
SB,3,[66557.3],['Max'],2024-04-15 09:00:00,2024-04-15 09:00:00
SB,1,[62286.4],['Min'],2024-04-17 12:00:00,2024-04-17 12:00:00
