datetime,sigai_output,rolling_mean,std,0.7std,1.5std,3std,upper_0.7std,lower_0.7std,upper_1.5std,lower_1.5std,upper_3std,lower_3std,SB,MB,WB,A,WS,MS,SS
2023-12-18 18:00:00,0.02321381,0.02087300125,0.008824621573628507,0.006177235101539955,0.01323693236044276,0.02647386472088552,0.027050236351539955,0.014695766148460044,0.03410993361044276,0.007636068889557238,0.04734686597088552,-0.005600863470885523,0,0,0,0,1,0,0
2023-12-18 19:00:00,0.02298093,0.020787304166666666,0.008792347170068247,0.0061546430190477725,0.01318852075510237,0.02637704151020474,0.026941947185714438,0.014632661147618894,0.03397582492176904,0.007598783411564296,0.0471643456768714,-0.005589737343538074,0,0,0,0,1,0,0
2023-12-18 20:00:00,0.02283671,0.020636780416666663,0.008721841144396652,0.006105288801077656,0.013082761716594978,0.026165523433189956,0.02674206921774432,0.014531491615589007,0.03371954213326164,0.0075540187000716855,0.04680230384985662,-0.005528743016523292,0,0,0,0,1,0,0
2023-12-18 21:00:00,0.02256284,0.020461076666666664,0.008634749688864416,0.006044324782205091,0.012952124533296624,0.02590424906659325,0.026505401448871757,0.014416751884461574,0.033413201199963286,0.00750895213337004,0.04636532573325991,-0.0054431723999265845,0,0,0,0,1,0,0
2023-12-18 22:00:00,0.02215608,0.020275724166666665,0.008544413663819656,0.005981089564673759,0.012816620495729484,0.02563324099145897,0.026256813731340423,0.014294634601992906,0.03309234466239615,0.007459103670937181,0.045908965158125634,-0.005357516824792304,0,0,0,0,1,0,0
2023-12-18 23:00:00,0.02187542,0.0201407175,0.00849004145740744,0.0059430290201852075,0.01273506218611116,0.02547012437222232,0.026083746520185205,0.014197688479814792,0.03287577968611116,0.007405655313888839,0.04561084187222232,-0.0053294068722223205,0,0,0,0,1,0,0
2023-12-19 00:00:00,0.01029088,0.01928174625,0.008395843777270802,0.005877090644089561,0.012593765665906202,0.025187531331812403,0.02515883689408956,0.013404655605910438,0.0318755119159062,0.006687980584093797,0.044469277581812405,-0.005905785081812404,0,1,0,0,0,0,0
2023-12-19 01:00:00,0.01031579,0.018444958333333334,0.00823901378443234,0.005767309649102638,0.01235852067664851,0.02471704135329702,0.024212267982435972,0.012677648684230696,0.030803479009981843,0.006086437656684825,0.043161999686630356,-0.006272083019963685,0,1,0,0,0,0,0
2023-12-19 02:00:00,0.01049234,0.017639171666666665,0.00801977224869917,0.0056138405740894185,0.012029658373048755,0.02405931674609751,0.023253012240756085,0.012025331092577246,0.02966883003971542,0.0056095132936179095,0.041698488412764176,-0.006420145079430846,0,1,0,0,0,0,0
2023-12-19 03:00:00,0.01119534,0.01689032375,0.0077303547753513864,0.00541124834274597,0.01159553216302708,0.02319106432605416,0.02230157209274597,0.011479075407254027,0.02848585591302708,0.005294791586972918,0.04008138807605416,-0.006300740576054162,0,1,0,0,0,0,0
2023-12-19 04:00:00,0.01224588,0.016245767916666664,0.007427517812026083,0.005199262468418258,0.011141276718039125,0.02228255343607825,0.021445030385084923,0.011046505448248405,0.027387044634705787,0.005104491198627539,0.038528321352744914,-0.006036785519411586,0,0,1,0,0,0,0
2023-12-19 05:00:00,0.01298234,0.015662665833333332,0.007090101530417256,0.0049630710712920785,0.010635152295625883,0.021270304591251767,0.02062573690462541,0.010699594762041253,0.026297818128959215,0.005027513537707449,0.0369329704245851,-0.0056076387579184345,0,0,1,0,0,0,0
2023-12-19 06:00:00,0.01384034,0.015133580416666667,0.006706650027449042,0.004694655019214329,0.010059975041173563,0.020119950082347127,0.019828235435880998,0.010438925397452338,0.02519355545784023,0.005073605375493104,0.035253530499013794,-0.00498636966568046,0,0,1,0,0,0,0
2023-12-19 07:00:00,0.01442743,0.014627008749999998,0.006247510814199661,0.004373257569939762,0.009371266221299492,0.018742532442598984,0.01900026631993976,0.010253751180060236,0.023998274971299492,0.005255742528700506,0.03336954119259898,-0.004115523692598986,0,0,1,0,0,0,0
2023-12-19 08:00:00,0.03536622,0.01580558125,0.007335292867461295,0.005134705007222906,0.011002939301191943,0.022005878602383885,0.020940286257222905,0.010670876242777093,0.02680852055119194,0.004802641948808056,0.037811459852383884,-0.006200297352383886,0,0,0,0,0,0,1
2023-12-19 09:00:00,0.03626539,0.017024659166666664,0.008190875789307786,0.00573361305251545,0.012286313683961679,0.024572627367923358,0.022758272219182113,0.011291046114151215,0.029310972850628343,0.004738345482704985,0.04159728653459002,-0.007547968201256694,0,0,0,0,0,0,1
2023-12-19 10:00:00,0.03688572,0.018252465416666665,0.008868804664018277,0.006208163264812793,0.013303206996027415,0.02660641399205483,0.024460628681479458,0.012044302151853873,0.03155567241269408,0.004949258420639251,0.04485887940872149,-0.008353948575388164,0,0,0,0,0,0,1
2023-12-19 11:00:00,0.03746825,0.019470298333333334,0.009423578945836087,0.0065965052620852605,0.014135368418754131,0.028270736837508262,0.026066803595418596,0.012873793071248073,0.03360566675208747,0.005334929914579203,0.04774103517084159,-0.008800438504174928,0,0,0,0,0,0,1
2023-12-19 12:00:00,0.03861897,0.020687482916666666,0.009939652252647034,0.006957756576852923,0.01490947837897055,0.0298189567579411,0.02764523949351959,0.013729726339813744,0.03559696129563722,0.005778004537696117,0.050506439674607766,-0.009131473841274433,0,0,0,0,0,0,1
2023-12-19 13:00:00,0.03889844,0.021864234583333333,0.010363200497226747,0.007254240348058723,0.01554480074584012,0.03108960149168024,0.029118474931392056,0.01460999423527461,0.03740903532917345,0.006319433837493213,0.05295383607501357,-0.009225366908346907,0,0,0,0,0,0,1
2023-12-19 14:00:00,0.03837447,0.02299151375,0.010634255978646557,0.0074439791850525894,0.015951383967969836,0.03190276793593967,0.030435492935052592,0.015547534564947412,0.03894289771796984,0.0070401297820301655,0.05489428168593967,-0.00891125418593967,0,0,0,0,0,1,0
2023-12-19 15:00:00,0.03772072,0.02410126583333333,0.010727204799447705,0.007509043359613393,0.016090807199171556,0.03218161439834311,0.031610309192946724,0.016592222473719935,0.04019207303250488,0.008010458634161773,0.05628288023167644,-0.008080348565009783,0,0,0,0,0,1,0
2023-12-19 16:00:00,0.02574801,0.024176001666666665,0.010732383656844787,0.0075126685597913506,0.01609857548526718,0.03219715097053436,0.031688670226458014,0.016663333106875317,0.040274577151933846,0.008077426181399484,0.056373152637201024,-0.008021149303867697,0,0,0,0,1,0,0
2023-12-19 17:00:00,0.02422801,0.024207930416666665,0.010731306083468188,0.007511914258427731,0.016096959125202284,0.03219391825040457,0.031719844675094394,0.016696016158238933,0.04030488954186895,0.008110971291464382,0.056401848667071236,-0.007985987833737902,0,0,0,0,1,0,0
2023-12-19 18:00:00,0.02407,0.024243605,0.01072928054050624,0.007510496378354367,0.01609392081075936,0.03218784162151872,0.03175410137835437,0.016733108621645634,0.04033752581075936,0.008149684189240641,0.05643144662151872,-0.007944236621518719,0,0,1,0,0,0,0
2023-12-19 19:00:00,0.02428343,0.024297875833333333,0.010725909612187877,0.007508136728531513,0.016088864418281817,0.032177728836563634,0.03180601256186485,0.016789739104801818,0.04038674025161515,0.008209011415051516,0.05647560466989697,-0.0078798530032303,0,0,1,0,0,0,0
2023-12-19 20:00:00,0.0239948,0.024346129583333334,0.010721654476452278,0.007505158133516594,0.016082481714678416,0.03216496342935683,0.031851287716849926,0.01684097144981674,0.04042861129801175,0.008263647868654918,0.05651109301269017,-0.007818833846023499,0,0,1,0,0,0,0
2023-12-19 21:00:00,0.02308359,0.024367827499999998,0.010718415083310602,0.007502890558317421,0.0160776226249659,0.0321552452499318,0.03187071805831742,0.016864936941682576,0.0404454501249659,0.008290204875034096,0.056523072749931805,-0.0077874177499318055,0,0,1,0,0,0,0
2023-12-19 22:00:00,0.02192863,0.02435835041666667,0.01072055604806845,0.007504389233647914,0.016080834072102673,0.032161668144205346,0.03186273965031458,0.016853961183018757,0.04043918448876935,0.008277516344563998,0.05652001856087202,-0.007803317727538676,0,0,1,0,0,0,0
2023-12-19 23:00:00,0.02094986,0.024319785416666666,0.010731535355082703,0.0075120747485578915,0.016097303032624057,0.03219460606524811,0.03183186016522456,0.016807710668108773,0.04041708844929072,0.00822248238404261,0.05651439148191478,-0.007874820648581447,0,0,1,0,0,0,0
2023-12-20 00:00:00,0.03239847,0.025240934999999996,0.010419265464534548,0.007293485825174183,0.015628898196801824,0.03125779639360365,0.03253442082517418,0.01794744917482581,0.04086983319680182,0.009612036803198172,0.056498731393603646,-0.0060168613936036515,0,0,0,0,1,0,0
2023-12-20 01:00:00,0.03201249,0.02614496416666667,0.01000083624567978,0.007000585371975845,0.015001254368519668,0.030002508737039336,0.033145549538642516,0.019144378794690824,0.04114621853518634,0.011143709798147002,0.056147472903706,-0.0038575445703726667,0,0,0,0,1,0,0
2023-12-20 02:00:00,0.03139315,0.02701583125,0.009474729944278172,0.00663231096099472,0.01421209491641726,0.02842418983283452,0.03364814221099472,0.02038352028900528,0.04122792616641726,0.012803736333582741,0.05544002108283452,-0.0014083585828345187,0,0,0,0,1,0,0
2023-12-20 03:00:00,0.03117105,0.0278481525,0.008883480918911332,0.006218436643237932,0.013325221378366997,0.026650442756733995,0.03406658914323793,0.02162971585676207,0.041173373878366996,0.014522931121633003,0.05449859525673399,0.001197709743266006,0,0,0,0,1,0,0
2023-12-20 04:00:00,0.03116032,0.028636254166666666,0.008255976515436117,0.005779183560805282,0.012383964773154177,0.024767929546308354,0.03441543772747195,0.022857070605861386,0.04102021893982084,0.01625228939351249,0.05340418371297502,0.0038683246203583127,0,0,0,0,1,0,0
2023-12-20 05:00:00,0.03116075,0.029393687916666664,0.00756210667208194,0.005293474670457358,0.01134316000812291,0.02268632001624582,0.034687162587124024,0.024100213246209305,0.04073684792478957,0.018050527908543754,0.05208000793291248,0.006707367900420844,0,0,0,0,1,0,0
2023-12-20 06:00:00,0.03117126,0.030115809583333333,0.006801545913208328,0.00476108213924583,0.010202318869812493,0.020404637739624986,0.03487689172257916,0.025354727444087503,0.04031812845314583,0.01991349071352084,0.05052044732295832,0.009711171843708347,0,0,0,0,1,0,0
2023-12-20 07:00:00,0.031126,0.030811583333333333,0.005924453453701344,0.004147117417590941,0.008886680180552017,0.017773360361104034,0.034958700750924276,0.026664465915742393,0.03969826351388535,0.021924903152781318,0.04858494369443737,0.0130382229722293,0,0,0,0,1,0,0
2023-12-20 08:00:00,0.00929116,0.029725122499999996,0.0072870784822248935,0.005100954937557425,0.01093061772333734,0.02186123544667468,0.03482607743755742,0.02462416756244257,0.04065574022333734,0.018794504776662654,0.051586357946674676,0.007863887053325316,1,0,0,0,0,0,0
2023-12-20 09:00:00,0.00917584,0.028596391250000002,0.0082626869121797,0.0057838808385257895,0.01239403036826955,0.0247880607365391,0.034380272088525794,0.022812510411474213,0.04099042161826955,0.01620236088173045,0.0533844519865391,0.003808330513460901,1,0,0,0,0,0,0
2023-12-20 10:00:00,0.00924372,0.02744464125,0.008954552218759373,0.006268186553131561,0.01343182832813906,0.02686365665627812,0.03371282780313156,0.02117645469686844,0.040876469578139056,0.01401281292186094,0.054308297906278113,0.0005809845937218804,1,0,0,0,0,0,0
2023-12-20 11:00:00,0.00930772,0.026271285833333335,0.009417063593676887,0.00659194451557382,0.01412559539051533,0.02825119078103066,0.03286323034890715,0.019679341317759516,0.040396881223848664,0.012145690442818005,0.05452247661436399,-0.0019799049476973245,1,0,0,0,0,0,0
2023-12-20 12:00:00,0.00939644,0.025053680416666668,0.00963773968073128,0.006746417776511896,0.01445660952109692,0.02891321904219384,0.03180009819317856,0.018307262640154774,0.039510289937763586,0.010597070895569749,0.053966899458860504,-0.003859538625527171,1,0,0,0,0,0,0
2023-12-20 13:00:00,0.00956081,0.023831279166666667,0.009665869833718067,0.006766108883602647,0.014498804750577101,0.028997609501154202,0.030597388050269313,0.01706517028306402,0.03833008391724377,0.009332474416089566,0.05282888866782087,-0.005166330334487535,0,1,0,0,0,0,0
