Bucket,Dates,Values,Signal,Count,Local Extrema,Sell\Buy,Sell Local Min Count,Sell Local Max Count,Buy Local Min Count,Buy Local Max Count
22,"[Timestamp('2023-04-27 00:00:00'), Timestamp('2023-04-27 01:00:00'), Timestamp('2023-04-27 02:00:00'), Timestamp('2023-04-27 03:00:00'), Timestamp('2023-04-27 04:00:00'), Timestamp('2023-04-27 05:00:00'), Timestamp('2023-04-27 06:00:00'), Timestamp('2023-04-27 07:00:00'), Timestamp('2023-04-27 08:00:00'), Timestamp('2023-04-27 09:00:00'), Timestamp('2023-04-27 10:00:00'), Timestamp('2023-04-27 11:00:00'), Timestamp('2023-04-27 12:00:00'), Timestamp('2023-04-27 13:00:00'), Timestamp('2023-04-27 14:00:00'), Timestamp('2023-04-27 15:00:00'), Timestamp('2023-04-27 16:00:00'), Timestamp('2023-04-27 17:00:00'), Timestamp('2023-04-27 18:00:00'), Timestamp('2023-04-27 19:00:00')]","[0.002945, 0.003155, 0.003113, 0.003135, -0.00254, -0.003072, -0.003153, -0.002879, 0.003123, 0.003144, 0.002668, 0.00221, 0.004101, 0.004115, 0.004044, 0.004333, 0.001536, 0.001603, 0.001646, 0.002217]","['WB', 'WB', 'WB', 'WB', 'SB', 'SB', 'SB', 'MB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB']",20,"['local_max', 'local_min', 'local_max', 'local_min', 'local_max', 'local_min', 'local_max']",Buy,0,0,3,4
23,"[Timestamp('2023-04-27 20:00:00'), Timestamp('2023-04-27 21:00:00'), Timestamp('2023-04-27 22:00:00'), Timestamp('2023-04-27 23:00:00'), Timestamp('2023-04-28 00:00:00'), Timestamp('2023-04-28 01:00:00'), Timestamp('2023-04-28 02:00:00'), Timestamp('2023-04-28 03:00:00'), Timestamp('2023-04-28 04:00:00'), Timestamp('2023-04-28 05:00:00'), Timestamp('2023-04-28 06:00:00'), Timestamp('2023-04-28 07:00:00')]","[0.004653, 0.004465, 0.004026, 0.003955, 0.006677, 0.006278, 0.005766, 0.006448, 0.004753, 0.004797, 0.004797, 0.004903]","['WS', 'WS', 'WS', 'MS', 'SS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS']",12,"['local_min', 'local_max']",Sell,1,1,0,0
24,"[Timestamp('2023-04-28 08:00:00'), Timestamp('2023-04-28 09:00:00'), Timestamp('2023-04-28 10:00:00'), Timestamp('2023-04-28 11:00:00'), Timestamp('2023-04-28 12:00:00'), Timestamp('2023-04-28 13:00:00'), Timestamp('2023-04-28 14:00:00'), Timestamp('2023-04-28 15:00:00'), Timestamp('2023-04-28 16:00:00'), Timestamp('2023-04-28 17:00:00'), Timestamp('2023-04-28 18:00:00'), Timestamp('2023-04-28 19:00:00'), Timestamp('2023-04-28 20:00:00'), Timestamp('2023-04-28 21:00:00'), Timestamp('2023-04-28 22:00:00'), Timestamp('2023-04-28 23:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 01:00:00'), Timestamp('2023-04-29 02:00:00'), Timestamp('2023-04-29 03:00:00'), Timestamp('2023-04-29 04:00:00'), Timestamp('2023-04-29 05:00:00'), Timestamp('2023-04-29 06:00:00'), Timestamp('2023-04-29 07:00:00'), Timestamp('2023-04-29 08:00:00'), Timestamp('2023-04-29 09:00:00'), Timestamp('2023-04-29 10:00:00'), Timestamp('2023-04-29 11:00:00'), Timestamp('2023-04-29 12:00:00'), Timestamp('2023-04-29 13:00:00'), Timestamp('2023-04-29 14:00:00')]","[0.001387, 0.003514, 0.003514, 0.003407, 0.001532, 0.001387, 0.001275, 0.001409, 0.000796, 0.000731, 0.000722, 0.000449, -0.000204, -0.001265, -0.00211, -0.00263, -0.005749, -0.006047, -0.007635, -0.008701, -0.011418, -0.010601, -0.010228, -0.009421, -0.005944, -0.006105, -0.00659, -0.006407, -0.004602, -0.00443, -0.004621]","['SB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB']",31,"['local_min', 'local_max']",Buy,0,0,1,1
25,"[Timestamp('2023-04-29 15:00:00'), Timestamp('2023-04-29 16:00:00'), Timestamp('2023-04-29 17:00:00'), Timestamp('2023-04-29 18:00:00'), Timestamp('2023-04-29 19:00:00'), Timestamp('2023-04-29 20:00:00'), Timestamp('2023-04-29 21:00:00'), Timestamp('2023-04-29 22:00:00'), Timestamp('2023-04-29 23:00:00'), Timestamp('2023-04-30 00:00:00'), Timestamp('2023-04-30 01:00:00'), Timestamp('2023-04-30 02:00:00'), Timestamp('2023-04-30 03:00:00'), Timestamp('2023-04-30 04:00:00'), Timestamp('2023-04-30 05:00:00'), Timestamp('2023-04-30 06:00:00'), Timestamp('2023-04-30 07:00:00'), Timestamp('2023-04-30 08:00:00'), Timestamp('2023-04-30 09:00:00'), Timestamp('2023-04-30 10:00:00'), Timestamp('2023-04-30 11:00:00'), Timestamp('2023-04-30 12:00:00'), Timestamp('2023-04-30 13:00:00'), Timestamp('2023-04-30 14:00:00'), Timestamp('2023-04-30 15:00:00'), Timestamp('2023-04-30 16:00:00'), Timestamp('2023-04-30 17:00:00'), Timestamp('2023-04-30 18:00:00'), Timestamp('2023-04-30 19:00:00')]","[-0.004787, -0.003687, -0.002954, -0.004089, -0.004589, -0.003556, -0.003855, -0.004123, -0.004216, 0.00123, 0.001184, 0.001001, 0.001356, 0.004435, 0.004512, 0.004476, 0.004935, 0.006282, 0.006321, 0.006394, 0.006489, 0.008091, 0.007949, 0.007704, 0.007994, 0.006716, 0.006728, 0.006763, 0.006825]","['WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS']",29,"['local_min', 'local_max']",Sell,1,1,0,0
26,"[Timestamp('2023-04-30 20:00:00'), Timestamp('2023-04-30 21:00:00'), Timestamp('2023-04-30 22:00:00'), Timestamp('2023-04-30 23:00:00'), Timestamp('2023-05-01 00:00:00'), Timestamp('2023-05-01 01:00:00'), Timestamp('2023-05-01 02:00:00'), Timestamp('2023-05-01 03:00:00'), Timestamp('2023-05-01 04:00:00'), Timestamp('2023-05-01 05:00:00'), Timestamp('2023-05-01 06:00:00'), Timestamp('2023-05-01 07:00:00')]","[0.003359, 0.003394, 0.003424, 0.003277, 0.000612, 0.000825, 0.000709, 0.000274, 0.000385, 0.000281, -0.000212, -0.000495]","['WB', 'WB', 'WB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB']",12,[],Buy,0,0,0,0
27,"[Timestamp('2023-05-01 08:00:00'), Timestamp('2023-05-01 09:00:00'), Timestamp('2023-05-01 10:00:00'), Timestamp('2023-05-01 11:00:00'), Timestamp('2023-05-01 12:00:00'), Timestamp('2023-05-01 13:00:00'), Timestamp('2023-05-01 14:00:00'), Timestamp('2023-05-01 15:00:00'), Timestamp('2023-05-01 16:00:00'), Timestamp('2023-05-01 17:00:00'), Timestamp('2023-05-01 18:00:00'), Timestamp('2023-05-01 19:00:00'), Timestamp('2023-05-01 20:00:00'), Timestamp('2023-05-01 21:00:00'), Timestamp('2023-05-01 22:00:00')]","[0.005009, 0.005402, 0.005715, 0.005662, 0.008229, 0.008259, 0.008362, 0.008623, 0.004011, 0.004254, 0.004497, 0.004891, 0.004611, 0.004617, 0.004235]","['WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS']",15,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
28,[Timestamp('2023-05-01 23:00:00')],[0.003586],['WB'],1,[],Buy,0,0,0,0
29,"[Timestamp('2023-05-02 00:00:00'), Timestamp('2023-05-02 01:00:00'), Timestamp('2023-05-02 02:00:00'), Timestamp('2023-05-02 03:00:00')]","[0.005695, 0.005537, 0.00571, 0.005987]","['WS', 'WS', 'WS', 'WS']",4,[],Sell,0,0,0,0
30,"[Timestamp('2023-05-02 04:00:00'), Timestamp('2023-05-02 05:00:00'), Timestamp('2023-05-02 06:00:00'), Timestamp('2023-05-02 07:00:00'), Timestamp('2023-05-02 08:00:00'), Timestamp('2023-05-02 09:00:00'), Timestamp('2023-05-02 10:00:00'), Timestamp('2023-05-02 11:00:00')]","[0.003691, 0.003889, 0.004055, 0.004019, 0.003457, 0.003229, 0.003053, 0.002912]","['WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB']",8,[],Buy,0,0,0,0
31,"[Timestamp('2023-05-02 12:00:00'), Timestamp('2023-05-02 13:00:00'), Timestamp('2023-05-02 14:00:00'), Timestamp('2023-05-02 15:00:00'), Timestamp('2023-05-02 16:00:00')]","[0.006192, 0.006057, 0.006164, 0.006288, 0.005262]","['MS', 'MS', 'MS', 'SS', 'WS']",5,[],Sell,0,0,0,0
