Bucket,Dates,Values,Signal,Count,Local Extrema,Sell\Buy,Sell Local Min Count,Sell Local Max Count,Buy Local Min Count,Buy Local Max Count
345,"[Timestamp('2023-09-19 12:00:00'), Timestamp('2023-09-19 13:00:00'), Timestamp('2023-09-19 14:00:00'), Timestamp('2023-09-19 15:00:00'), Timestamp('2023-09-19 16:00:00'), Timestamp('2023-09-19 17:00:00'), Timestamp('2023-09-19 18:00:00'), Timestamp('2023-09-19 19:00:00'), Timestamp('2023-09-19 20:00:00'), Timestamp('2023-09-19 21:00:00'), Timestamp('2023-09-19 22:00:00'), Timestamp('2023-09-19 23:00:00')]","[-0.001029, -0.001099, -0.001441, -0.001537, 0.001411, 0.002632, 0.002879, 0.00322, 0.002598, 0.002365, 0.002423, 0.002197]","['WS', 'WS', 'WS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS']",12,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
346,"[Timestamp('2023-09-20 00:00:00'), Timestamp('2023-09-20 01:00:00'), Timestamp('2023-09-20 02:00:00')]","[-0.002602, -0.002436, -0.001282]","['MB', 'MB', 'WB']",3,['local_max'],Buy,0,0,0,1
347,[Timestamp('2023-09-20 03:00:00')],[-0.000408],['WS'],1,[],Sell,0,0,0,0
348,"[Timestamp('2023-09-20 04:00:00'), Timestamp('2023-09-20 05:00:00'), Timestamp('2023-09-20 06:00:00'), Timestamp('2023-09-20 07:00:00'), Timestamp('2023-09-20 08:00:00'), Timestamp('2023-09-20 09:00:00'), Timestamp('2023-09-20 10:00:00'), Timestamp('2023-09-20 11:00:00'), Timestamp('2023-09-20 12:00:00'), Timestamp('2023-09-20 13:00:00'), Timestamp('2023-09-20 14:00:00'), Timestamp('2023-09-20 15:00:00')]","[-0.001456, -0.001199, -0.001439, -0.001703, -0.002992, -0.002693, -0.002672, -0.002636, -0.002114, -0.001949, -0.00187, -0.001836]","['WB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB']",12,['local_min'],Buy,0,0,1,0
349,"[Timestamp('2023-09-20 16:00:00'), Timestamp('2023-09-20 17:00:00'), Timestamp('2023-09-20 18:00:00'), Timestamp('2023-09-20 19:00:00'), Timestamp('2023-09-20 20:00:00'), Timestamp('2023-09-20 21:00:00'), Timestamp('2023-09-20 22:00:00'), Timestamp('2023-09-20 23:00:00'), Timestamp('2023-09-21 00:00:00'), Timestamp('2023-09-21 01:00:00'), Timestamp('2023-09-21 02:00:00'), Timestamp('2023-09-21 03:00:00'), Timestamp('2023-09-21 04:00:00'), Timestamp('2023-09-21 05:00:00'), Timestamp('2023-09-21 06:00:00'), Timestamp('2023-09-21 07:00:00'), Timestamp('2023-09-21 08:00:00'), Timestamp('2023-09-21 09:00:00'), Timestamp('2023-09-21 10:00:00'), Timestamp('2023-09-21 11:00:00'), Timestamp('2023-09-21 12:00:00'), Timestamp('2023-09-21 13:00:00'), Timestamp('2023-09-21 14:00:00'), Timestamp('2023-09-21 15:00:00')]","[0.001398, 0.001972, 0.002332, 0.001327, 0.002998, 0.003474, 0.003639, 0.003453, -9e-06, 0.001248, 0.002031, 0.002265, 0.001913, 0.001347, 0.001175, 0.001233, 0.004484, 0.003516, 0.003333, 0.003955, 0.003686, 0.004128, 0.004437, 0.00428]","['MS', 'MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'WS', 'WS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS']",24,"['local_max', 'local_min', 'local_max', 'local_min']",Sell,2,2,0,0
350,"[Timestamp('2023-09-21 16:00:00'), Timestamp('2023-09-21 17:00:00'), Timestamp('2023-09-21 18:00:00'), Timestamp('2023-09-21 19:00:00'), Timestamp('2023-09-21 20:00:00'), Timestamp('2023-09-21 21:00:00'), Timestamp('2023-09-21 22:00:00'), Timestamp('2023-09-21 23:00:00'), Timestamp('2023-09-22 00:00:00'), Timestamp('2023-09-22 01:00:00'), Timestamp('2023-09-22 02:00:00'), Timestamp('2023-09-22 03:00:00'), Timestamp('2023-09-22 04:00:00'), Timestamp('2023-09-22 05:00:00'), Timestamp('2023-09-22 06:00:00'), Timestamp('2023-09-22 07:00:00'), Timestamp('2023-09-22 08:00:00'), Timestamp('2023-09-22 09:00:00'), Timestamp('2023-09-22 10:00:00'), Timestamp('2023-09-22 11:00:00'), Timestamp('2023-09-22 12:00:00')]","[0.001588, 0.000981, 0.000572, -0.000307, 0.000753, 0.000301, 0.000322, 0.000642, -0.002535, -0.003455, -0.003873, -0.004172, -0.004981, -0.00489, -0.004544, -0.004202, -0.001571, -0.003163, -0.00276, -0.002127, -0.001436]","['MB', 'MB', 'MB', 'SB', 'MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'WB', 'MB', 'WB', 'WB', 'WB']",21,[],Buy,0,0,0,0
351,"[Timestamp('2023-09-22 13:00:00'), Timestamp('2023-09-22 14:00:00'), Timestamp('2023-09-22 15:00:00'), Timestamp('2023-09-22 16:00:00'), Timestamp('2023-09-22 17:00:00'), Timestamp('2023-09-22 18:00:00'), Timestamp('2023-09-22 19:00:00'), Timestamp('2023-09-22 20:00:00'), Timestamp('2023-09-22 21:00:00'), Timestamp('2023-09-22 22:00:00'), Timestamp('2023-09-22 23:00:00'), Timestamp('2023-09-23 00:00:00'), Timestamp('2023-09-23 01:00:00'), Timestamp('2023-09-23 02:00:00'), Timestamp('2023-09-23 03:00:00'), Timestamp('2023-09-23 04:00:00'), Timestamp('2023-09-23 05:00:00'), Timestamp('2023-09-23 06:00:00'), Timestamp('2023-09-23 07:00:00'), Timestamp('2023-09-23 08:00:00')]","[-0.001002, -0.000829, -0.001047, 0.00257, 0.003952, 0.004067, 0.004215, 0.006148, 0.006397, 0.00665, 0.006545, 0.004937, 0.004741, 0.004477, 0.003976, 0.003837, 0.003798, 0.003787, 0.003991, 0.0038]","['WS', 'WS', 'WS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS']",20,"['local_max', 'local_min']",Sell,1,1,0,0
352,"[Timestamp('2023-09-23 09:00:00'), Timestamp('2023-09-23 10:00:00'), Timestamp('2023-09-23 11:00:00'), Timestamp('2023-09-23 12:00:00'), Timestamp('2023-09-23 13:00:00'), Timestamp('2023-09-23 14:00:00'), Timestamp('2023-09-23 15:00:00'), Timestamp('2023-09-23 16:00:00'), Timestamp('2023-09-23 17:00:00'), Timestamp('2023-09-23 18:00:00'), Timestamp('2023-09-23 19:00:00'), Timestamp('2023-09-23 20:00:00'), Timestamp('2023-09-23 21:00:00'), Timestamp('2023-09-23 22:00:00'), Timestamp('2023-09-23 23:00:00')]","[0.001512, 0.002013, 0.002163, 0.002418, 0.002888, 0.00339, 0.003853, -0.000727, -0.004284, -0.004855, -0.005088, -0.004211, -0.002857, -0.001772, -0.000902]","['WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'WB']",15,[],Buy,0,0,0,0
353,"[Timestamp('2023-09-24 00:00:00'), Timestamp('2023-09-24 01:00:00'), Timestamp('2023-09-24 02:00:00'), Timestamp('2023-09-24 03:00:00'), Timestamp('2023-09-24 04:00:00'), Timestamp('2023-09-24 05:00:00'), Timestamp('2023-09-24 06:00:00'), Timestamp('2023-09-24 07:00:00'), Timestamp('2023-09-24 08:00:00'), Timestamp('2023-09-24 09:00:00'), Timestamp('2023-09-24 10:00:00'), Timestamp('2023-09-24 11:00:00'), Timestamp('2023-09-24 12:00:00'), Timestamp('2023-09-24 13:00:00'), Timestamp('2023-09-24 14:00:00'), Timestamp('2023-09-24 15:00:00'), Timestamp('2023-09-24 16:00:00'), Timestamp('2023-09-24 17:00:00'), Timestamp('2023-09-24 18:00:00'), Timestamp('2023-09-24 19:00:00'), Timestamp('2023-09-24 20:00:00')]","[0.005829, 0.006005, 0.006349, 0.00649, 0.006554, 0.006616, 0.006644, 0.006498, 0.003891, 0.005038, 0.005042, 0.004991, 0.004981, 0.004864, 0.004573, 0.004199, 0.006226, 0.006229, 0.006461, 0.006268, 0.00531]","['MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'WS', 'WS', 'WS', 'WS']",21,['local_max'],Sell,0,1,0,0
354,"[Timestamp('2023-09-24 21:00:00'), Timestamp('2023-09-24 22:00:00'), Timestamp('2023-09-24 23:00:00'), Timestamp('2023-09-25 00:00:00'), Timestamp('2023-09-25 01:00:00'), Timestamp('2023-09-25 02:00:00'), Timestamp('2023-09-25 03:00:00'), Timestamp('2023-09-25 04:00:00'), Timestamp('2023-09-25 05:00:00'), Timestamp('2023-09-25 06:00:00'), Timestamp('2023-09-25 07:00:00'), Timestamp('2023-09-25 08:00:00'), Timestamp('2023-09-25 09:00:00'), Timestamp('2023-09-25 10:00:00'), Timestamp('2023-09-25 11:00:00')]","[0.004502, 0.003925, 0.003068, -0.007754, -0.006418, -0.006498, -0.005955, -0.010789, -0.008623, -0.007031, -0.005854, 0.000409, 0.000198, 3.8e-05, -4.3e-05]","['WB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'WB', 'WB', 'WB', 'WB']",15,['local_min'],Buy,0,0,1,0
355,"[Timestamp('2023-09-25 12:00:00'), Timestamp('2023-09-25 13:00:00'), Timestamp('2023-09-25 14:00:00'), Timestamp('2023-09-25 15:00:00'), Timestamp('2023-09-25 16:00:00'), Timestamp('2023-09-25 17:00:00'), Timestamp('2023-09-25 18:00:00'), Timestamp('2023-09-25 19:00:00'), Timestamp('2023-09-25 20:00:00'), Timestamp('2023-09-25 21:00:00'), Timestamp('2023-09-25 22:00:00'), Timestamp('2023-09-25 23:00:00'), Timestamp('2023-09-26 00:00:00'), Timestamp('2023-09-26 01:00:00'), Timestamp('2023-09-26 02:00:00'), Timestamp('2023-09-26 03:00:00'), Timestamp('2023-09-26 04:00:00'), Timestamp('2023-09-26 05:00:00'), Timestamp('2023-09-26 06:00:00'), Timestamp('2023-09-26 07:00:00'), Timestamp('2023-09-26 08:00:00'), Timestamp('2023-09-26 09:00:00'), Timestamp('2023-09-26 10:00:00'), Timestamp('2023-09-26 11:00:00'), Timestamp('2023-09-26 12:00:00'), Timestamp('2023-09-26 13:00:00'), Timestamp('2023-09-26 14:00:00'), Timestamp('2023-09-26 15:00:00'), Timestamp('2023-09-26 16:00:00'), Timestamp('2023-09-26 17:00:00'), Timestamp('2023-09-26 18:00:00'), Timestamp('2023-09-26 19:00:00'), Timestamp('2023-09-26 20:00:00'), Timestamp('2023-09-26 21:00:00'), Timestamp('2023-09-26 22:00:00'), Timestamp('2023-09-26 23:00:00'), Timestamp('2023-09-27 00:00:00'), Timestamp('2023-09-27 01:00:00'), Timestamp('2023-09-27 02:00:00'), Timestamp('2023-09-27 03:00:00'), Timestamp('2023-09-27 04:00:00'), Timestamp('2023-09-27 05:00:00'), Timestamp('2023-09-27 06:00:00'), Timestamp('2023-09-27 07:00:00'), Timestamp('2023-09-27 08:00:00'), Timestamp('2023-09-27 09:00:00'), Timestamp('2023-09-27 10:00:00'), Timestamp('2023-09-27 11:00:00'), Timestamp('2023-09-27 12:00:00'), Timestamp('2023-09-27 13:00:00'), Timestamp('2023-09-27 14:00:00'), Timestamp('2023-09-27 15:00:00'), Timestamp('2023-09-27 16:00:00'), Timestamp('2023-09-27 17:00:00'), Timestamp('2023-09-27 18:00:00'), Timestamp('2023-09-27 19:00:00'), Timestamp('2023-09-27 20:00:00'), Timestamp('2023-09-27 21:00:00'), Timestamp('2023-09-27 22:00:00'), Timestamp('2023-09-27 23:00:00')]","[0.003785, 0.003922, 0.003865, 0.003658, 0.003348, 0.0029, 0.002324, 0.001849, 0.003969, 0.003847, 0.004033, 0.004255, 0.004707, 0.004915, 0.005163, 0.005237, 0.003597, 0.003566, 0.003468, 0.003443, 0.004123, 0.004216, 0.004374, 0.004566, 0.006401, 0.006637, 0.00694, 0.007186, 0.006256, 0.006184, 0.006119, 0.006303, 0.006857, 0.007146, 0.007418, 0.007209, 0.00897, 0.008929, 0.008878, 0.008894, 0.008892, 0.008755, 0.008584, 0.00882, 0.009509, 0.009914, 0.009767, 0.009401, 0.00949, 0.009806, 0.010235, 0.011088, 0.011914, 0.012218, 0.012649, 0.013, 0.01284, 0.012339, 0.011665, 0.010672]","['WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'SS', 'MS', 'SS', 'SS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'WS']",60,"['local_max', 'local_min', 'local_max', 'local_min']",Sell,2,2,0,0
356,"[Timestamp('2023-09-28 00:00:00'), Timestamp('2023-09-28 01:00:00'), Timestamp('2023-09-28 02:00:00'), Timestamp('2023-09-28 03:00:00'), Timestamp('2023-09-28 04:00:00'), Timestamp('2023-09-28 05:00:00'), Timestamp('2023-09-28 06:00:00'), Timestamp('2023-09-28 07:00:00'), Timestamp('2023-09-28 08:00:00'), Timestamp('2023-09-28 09:00:00'), Timestamp('2023-09-28 10:00:00'), Timestamp('2023-09-28 11:00:00'), Timestamp('2023-09-28 12:00:00'), Timestamp('2023-09-28 13:00:00'), Timestamp('2023-09-28 14:00:00'), Timestamp('2023-09-28 15:00:00'), Timestamp('2023-09-28 16:00:00'), Timestamp('2023-09-28 17:00:00'), Timestamp('2023-09-28 18:00:00'), Timestamp('2023-09-28 19:00:00'), Timestamp('2023-09-28 20:00:00'), Timestamp('2023-09-28 21:00:00'), Timestamp('2023-09-28 22:00:00')]","[0.006418, 0.005829, 0.005316, 0.004862, 0.004224, 0.004122, 0.003986, 0.003936, 0.00577, 0.005538, 0.005565, 0.00564, 0.005841, 0.005788, 0.005915, 0.006294, 0.004666, 0.000122, 0.000161, 0.000214, 0.000409, 0.001299, 0.00286]","['SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB', 'WB', 'MB', 'SB', 'SB', 'SB', 'SB', 'MB', 'WB']",23,"['local_max', 'local_min', 'local_max']",Buy,0,0,1,2
357,"[Timestamp('2023-09-28 23:00:00'), Timestamp('2023-09-29 00:00:00'), Timestamp('2023-09-29 01:00:00'), Timestamp('2023-09-29 02:00:00'), Timestamp('2023-09-29 03:00:00'), Timestamp('2023-09-29 04:00:00'), Timestamp('2023-09-29 05:00:00'), Timestamp('2023-09-29 06:00:00'), Timestamp('2023-09-29 07:00:00'), Timestamp('2023-09-29 08:00:00'), Timestamp('2023-09-29 09:00:00'), Timestamp('2023-09-29 10:00:00'), Timestamp('2023-09-29 11:00:00'), Timestamp('2023-09-29 12:00:00'), Timestamp('2023-09-29 13:00:00'), Timestamp('2023-09-29 14:00:00'), Timestamp('2023-09-29 15:00:00'), Timestamp('2023-09-29 16:00:00'), Timestamp('2023-09-29 17:00:00'), Timestamp('2023-09-29 18:00:00'), Timestamp('2023-09-29 19:00:00'), Timestamp('2023-09-29 20:00:00'), Timestamp('2023-09-29 21:00:00'), Timestamp('2023-09-29 22:00:00'), Timestamp('2023-09-29 23:00:00'), Timestamp('2023-09-30 00:00:00'), Timestamp('2023-09-30 01:00:00'), Timestamp('2023-09-30 02:00:00'), Timestamp('2023-09-30 03:00:00'), Timestamp('2023-09-30 04:00:00'), Timestamp('2023-09-30 05:00:00'), Timestamp('2023-09-30 06:00:00'), Timestamp('2023-09-30 07:00:00')]","[0.004168, 0.007071, 0.006996, 0.006349, 0.006649, 0.006883, 0.0068, 0.006507, 0.006789, 0.005903, 0.006021, 0.006062, 0.006246, 0.005092, 0.005055, 0.005331, 0.005597, 0.005866, 0.006228, 0.006386, 0.006444, 0.007362, 0.007801, 0.007863, 0.007409, 0.007571, 0.007474, 0.007381, 0.007437, 0.00785, 0.00759, 0.007314, 0.007168]","['WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'MS', 'SS', 'SS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS']",33,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
358,"[Timestamp('2023-09-30 08:00:00'), Timestamp('2023-09-30 09:00:00'), Timestamp('2023-09-30 10:00:00'), Timestamp('2023-09-30 11:00:00'), Timestamp('2023-09-30 12:00:00'), Timestamp('2023-09-30 13:00:00'), Timestamp('2023-09-30 14:00:00'), Timestamp('2023-09-30 15:00:00'), Timestamp('2023-09-30 16:00:00'), Timestamp('2023-09-30 17:00:00'), Timestamp('2023-09-30 18:00:00'), Timestamp('2023-09-30 19:00:00'), Timestamp('2023-09-30 20:00:00'), Timestamp('2023-09-30 21:00:00'), Timestamp('2023-09-30 22:00:00'), Timestamp('2023-09-30 23:00:00'), Timestamp('2023-10-01 00:00:00'), Timestamp('2023-10-01 01:00:00'), Timestamp('2023-10-01 02:00:00'), Timestamp('2023-10-01 03:00:00'), Timestamp('2023-10-01 04:00:00'), Timestamp('2023-10-01 05:00:00'), Timestamp('2023-10-01 06:00:00'), Timestamp('2023-10-01 07:00:00'), Timestamp('2023-10-01 08:00:00'), Timestamp('2023-10-01 09:00:00'), Timestamp('2023-10-01 10:00:00'), Timestamp('2023-10-01 11:00:00')]","[0.005692, 0.005523, 0.005533, 0.005255, 0.00502, 0.004892, 0.004959, 0.00508, 0.002826, 0.002947, 0.00296, 0.002967, 0.001582, 0.001491, 0.001067, 0.000849, 0.002318, 0.002437, 0.00267, 0.002442, 0.001473, 0.001271, 0.001235, 0.000994, 0.00081, 0.002011, 0.002572, 0.002444]","['MB', 'MB', 'MB', 'MB', 'SB', 'SB', 'SB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB']",28,['local_max'],Buy,0,0,0,1
359,"[Timestamp('2023-10-01 12:00:00'), Timestamp('2023-10-01 13:00:00'), Timestamp('2023-10-01 14:00:00'), Timestamp('2023-10-01 15:00:00'), Timestamp('2023-10-01 16:00:00'), Timestamp('2023-10-01 17:00:00'), Timestamp('2023-10-01 18:00:00'), Timestamp('2023-10-01 19:00:00'), Timestamp('2023-10-01 20:00:00'), Timestamp('2023-10-01 21:00:00'), Timestamp('2023-10-01 22:00:00'), Timestamp('2023-10-01 23:00:00'), Timestamp('2023-10-02 00:00:00'), Timestamp('2023-10-02 01:00:00'), Timestamp('2023-10-02 02:00:00'), Timestamp('2023-10-02 03:00:00'), Timestamp('2023-10-02 04:00:00'), Timestamp('2023-10-02 05:00:00'), Timestamp('2023-10-02 06:00:00'), Timestamp('2023-10-02 07:00:00'), Timestamp('2023-10-02 08:00:00')]","[0.003311, 0.003314, 0.003596, 0.004027, 0.006454, 0.006733, 0.006999, 0.007453, 0.008604, 0.008593, 0.00918, 0.010173, 0.010119, 0.008224, 0.007792, 0.006893, 0.006628, 0.007067, 0.007239, 0.007097, 0.00691]","['MS', 'MS', 'MS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'SS', 'MS', 'MS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS']",21,"['local_min', 'local_max', 'local_min']",Sell,2,1,0,0
360,"[Timestamp('2023-10-02 09:00:00'), Timestamp('2023-10-02 10:00:00'), Timestamp('2023-10-02 11:00:00'), Timestamp('2023-10-02 12:00:00'), Timestamp('2023-10-02 13:00:00'), Timestamp('2023-10-02 14:00:00'), Timestamp('2023-10-02 15:00:00'), Timestamp('2023-10-02 16:00:00'), Timestamp('2023-10-02 17:00:00')]","[0.005592, 0.005375, 0.00563, 0.004215, 0.00298, 0.002457, 0.002564, 0.004444, 0.005954]","['WB', 'WB', 'WB', 'MB', 'SB', 'SB', 'SB', 'MB', 'WB']",9,['local_max'],Buy,0,0,0,1
361,"[Timestamp('2023-10-02 18:00:00'), Timestamp('2023-10-02 19:00:00'), Timestamp('2023-10-02 20:00:00'), Timestamp('2023-10-02 21:00:00'), Timestamp('2023-10-02 22:00:00'), Timestamp('2023-10-02 23:00:00'), Timestamp('2023-10-03 00:00:00'), Timestamp('2023-10-03 01:00:00'), Timestamp('2023-10-03 02:00:00'), Timestamp('2023-10-03 03:00:00'), Timestamp('2023-10-03 04:00:00'), Timestamp('2023-10-03 05:00:00'), Timestamp('2023-10-03 06:00:00'), Timestamp('2023-10-03 07:00:00')]","[0.006862, 0.007707, 0.008826, 0.009338, 0.009333, 0.009356, 0.00885, 0.009455, 0.009747, 0.009202, 0.009049, 0.008561, 0.00818, 0.008019]","['WS', 'WS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'MS', 'WS', 'WS', 'WS']",14,"['local_min', 'local_max', 'local_min', 'local_max']",Sell,2,2,0,0
362,"[Timestamp('2023-10-03 08:00:00'), Timestamp('2023-10-03 09:00:00'), Timestamp('2023-10-03 10:00:00'), Timestamp('2023-10-03 11:00:00'), Timestamp('2023-10-03 12:00:00'), Timestamp('2023-10-03 13:00:00'), Timestamp('2023-10-03 14:00:00'), Timestamp('2023-10-03 15:00:00')]","[0.006335, 0.006178, 0.005861, 0.005482, 0.005498, 0.005572, 0.005163, 0.005344]","['WB', 'WB', 'WB', 'WB', 'WB', 'MB', 'MB', 'MB']",8,[],Buy,0,0,0,0
363,"[Timestamp('2023-10-03 16:00:00'), Timestamp('2023-10-03 17:00:00'), Timestamp('2023-10-03 18:00:00'), Timestamp('2023-10-03 19:00:00'), Timestamp('2023-10-03 20:00:00')]","[0.008212, 0.008224, 0.008104, 0.008115, 0.007729]","['WS', 'WS', 'WS', 'WS', 'WS']",5,['local_min'],Sell,1,0,0,0
364,"[Timestamp('2023-10-03 21:00:00'), Timestamp('2023-10-03 22:00:00'), Timestamp('2023-10-03 23:00:00'), Timestamp('2023-10-04 00:00:00'), Timestamp('2023-10-04 01:00:00'), Timestamp('2023-10-04 02:00:00'), Timestamp('2023-10-04 03:00:00'), Timestamp('2023-10-04 04:00:00'), Timestamp('2023-10-04 05:00:00'), Timestamp('2023-10-04 06:00:00'), Timestamp('2023-10-04 07:00:00'), Timestamp('2023-10-04 08:00:00'), Timestamp('2023-10-04 09:00:00'), Timestamp('2023-10-04 10:00:00'), Timestamp('2023-10-04 11:00:00'), Timestamp('2023-10-04 12:00:00'), Timestamp('2023-10-04 13:00:00'), Timestamp('2023-10-04 14:00:00'), Timestamp('2023-10-04 15:00:00'), Timestamp('2023-10-04 16:00:00'), Timestamp('2023-10-04 17:00:00'), Timestamp('2023-10-04 18:00:00')]","[0.007605, 0.007478, 0.007245, 0.00616, 0.006591, 0.006667, 0.006611, 0.004622, 0.004522, 0.004546, 0.004607, 0.003908, 0.003745, 0.003364, 0.003031, 0.002924, 0.002616, 0.002567, 0.00297, 0.004348, 0.004657, 0.004796]","['WB', 'WB', 'WB', 'MB', 'WB', 'WB', 'WB', 'SB', 'SB', 'SB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'WB', 'WB', 'WB']",22,"['local_max', 'local_min']",Buy,0,0,1,1
365,"[Timestamp('2023-10-04 19:00:00'), Timestamp('2023-10-04 20:00:00'), Timestamp('2023-10-04 21:00:00'), Timestamp('2023-10-04 22:00:00'), Timestamp('2023-10-04 23:00:00')]","[0.00511, 0.006038, 0.006138, 0.006021, 0.005652]","['WS', 'MS', 'MS', 'MS', 'MS']",5,[],Sell,0,0,0,0
366,"[Timestamp('2023-10-05 00:00:00'), Timestamp('2023-10-05 01:00:00'), Timestamp('2023-10-05 02:00:00'), Timestamp('2023-10-05 03:00:00'), Timestamp('2023-10-05 04:00:00'), Timestamp('2023-10-05 05:00:00'), Timestamp('2023-10-05 06:00:00')]","[0.004207, 0.004155, 0.004079, 0.004069, 0.004232, 0.004145, 0.004141]","['WB', 'WB', 'WB', 'WB', 'WB', 'WB', 'WB']",7,['local_max'],Buy,0,0,0,1
367,[Timestamp('2023-10-05 07:00:00')],[0.004525],['WS'],1,['local_min'],Sell,1,0,0,0
368,"[Timestamp('2023-10-05 08:00:00'), Timestamp('2023-10-05 09:00:00'), Timestamp('2023-10-05 10:00:00')]","[0.003201, 0.003738, 0.004217]","['MB', 'WB', 'WB']",3,[],Buy,0,0,0,0
369,[Timestamp('2023-10-05 11:00:00')],[0.004629],['WS'],1,[],Sell,0,0,0,0
370,"[Timestamp('2023-10-05 12:00:00'), Timestamp('2023-10-05 13:00:00'), Timestamp('2023-10-05 14:00:00'), Timestamp('2023-10-05 15:00:00'), Timestamp('2023-10-05 16:00:00'), Timestamp('2023-10-05 17:00:00'), Timestamp('2023-10-05 18:00:00'), Timestamp('2023-10-05 19:00:00'), Timestamp('2023-10-05 20:00:00'), Timestamp('2023-10-05 21:00:00'), Timestamp('2023-10-05 22:00:00'), Timestamp('2023-10-05 23:00:00'), Timestamp('2023-10-06 00:00:00'), Timestamp('2023-10-06 01:00:00'), Timestamp('2023-10-06 02:00:00'), Timestamp('2023-10-06 03:00:00'), Timestamp('2023-10-06 04:00:00'), Timestamp('2023-10-06 05:00:00'), Timestamp('2023-10-06 06:00:00'), Timestamp('2023-10-06 07:00:00')]","[0.003421, 0.00369, 0.00298, 0.001871, -4.4e-05, 0.000356, 0.000598, 0.00056, 0.000208, 0.000281, 9.7e-05, -2.7e-05, 0.000504, 0.000599, 0.000528, 0.000515, 0.001076, 0.001018, 0.001115, 0.001236]","['MB', 'MB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'MB', 'MB', 'MB', 'MB', 'WB', 'WB', 'WB', 'WB']",20,"['local_max', 'local_min']",Buy,0,0,1,1
371,"[Timestamp('2023-10-06 08:00:00'), Timestamp('2023-10-06 09:00:00'), Timestamp('2023-10-06 10:00:00')]","[0.002628, 0.002358, 0.001624]","['MS', 'WS', 'WS']",3,[],Sell,0,0,0,0
372,"[Timestamp('2023-10-06 11:00:00'), Timestamp('2023-10-06 12:00:00'), Timestamp('2023-10-06 13:00:00'), Timestamp('2023-10-06 14:00:00'), Timestamp('2023-10-06 15:00:00'), Timestamp('2023-10-06 16:00:00'), Timestamp('2023-10-06 17:00:00'), Timestamp('2023-10-06 18:00:00'), Timestamp('2023-10-06 19:00:00'), Timestamp('2023-10-06 20:00:00')]","[0.001013, -0.000625, -0.000979, -0.001159, -0.00119, -0.005516, -0.004539, -0.003403, -0.002821, -0.00068]","['WB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'SB', 'MB', 'WB']",10,"['local_max', 'local_min']",Buy,0,0,1,1
