datetime,sigai_output,signal
2023-10-25 12:00:00,0.01464727,WSS
2023-10-25 13:00:00,0.01488598,WSS
2023-10-25 14:00:00,0.01515824,WSS
2023-10-25 15:00:00,0.01561465,WSS
2023-10-26 04:00:00,0.01670783,WSS
2023-10-26 05:00:00,0.01703626,WSS
2023-10-26 06:00:00,0.01726287,WSS
2023-10-26 07:00:00,0.01778948,WSS
2023-10-26 08:00:00,0.01973946,WSS
2023-10-26 09:00:00,0.02058321,WSS
2023-10-26 10:00:00,0.02038719,WSS
2023-10-26 11:00:00,0.01982339,WSS
2023-10-27 13:00:00,0.01448403,WSS
2023-10-27 14:00:00,0.01463661,WSS
2023-10-27 15:00:00,0.01466314,WSS
2023-10-28 08:00:00,0.01625529,WSS
2023-10-28 09:00:00,0.01684022,WSS
2023-10-28 10:00:00,0.01658968,WSS
2023-10-29 00:00:00,0.02287909,WSS
2023-10-29 01:00:00,0.02144064,WSS
2023-10-29 16:00:00,0.02561195,WSS
2023-10-29 17:00:00,0.02622222,WSS
2023-10-29 18:00:00,0.02664017,WSS
2023-10-29 19:00:00,0.02687707,WSS
2023-10-29 20:00:00,0.02932709,WSS
2023-10-29 21:00:00,0.02875712,WSS
2023-10-29 22:00:00,0.02845748,WSS
2023-10-29 23:00:00,0.02862241,WSS
2023-11-01 00:00:00,0.01546951,WSS
2023-11-01 01:00:00,0.01423514,WSS
2023-11-01 02:00:00,0.01448009,WSS
2023-11-01 03:00:00,0.01416371,WSS
2023-11-01 04:00:00,0.01678272,WSS
2023-11-01 05:00:00,0.0164424,WSS
2023-11-01 06:00:00,0.01581528,WSS
2023-11-01 18:00:00,0.01731634,WSS
2023-11-01 19:00:00,0.01856706,WSS
2023-11-01 20:00:00,0.01929267,WSS
2023-11-01 21:00:00,0.02111657,WSS
2023-11-01 22:00:00,0.02201068,WSS
2023-11-01 23:00:00,0.0221919,WSS
2023-11-02 00:00:00,0.02207687,WSS
2023-11-02 01:00:00,0.02282868,WSS
2023-11-02 02:00:00,0.02411637,WSS
2023-11-02 03:00:00,0.0259092,WSS
2023-11-02 04:00:00,0.03191273,WSS
2023-11-02 05:00:00,0.03098223,WSS
2023-11-02 06:00:00,0.03026722,WSS
2023-11-02 07:00:00,0.03009478,WSS
2023-11-05 08:00:00,0.01903821,WSS
2023-11-05 09:00:00,0.01891648,WSS
2023-11-05 10:00:00,0.01864838,WSS
2023-11-05 11:00:00,0.01836429,WSS
2023-11-05 12:00:00,0.01781568,WSS
2023-11-06 00:00:00,0.02262812,WSS
2023-11-06 01:00:00,0.02251731,WSS
2023-11-08 00:00:00,0.01185792,WSS
2023-11-08 01:00:00,0.01188774,WSS
2023-11-08 02:00:00,0.01163554,WSS
2023-11-08 03:00:00,0.01123305,WSS
2023-11-08 20:00:00,0.01303184,WSS
2023-11-08 21:00:00,0.01295163,WSS
2023-11-09 08:00:00,0.01775926,WSS
2023-11-09 09:00:00,0.0172051,WSS
2023-11-09 10:00:00,0.01655114,WSS
2023-11-09 12:00:00,0.01831079,WSS
2023-11-09 13:00:00,0.01778448,WSS
2023-11-09 14:00:00,0.01865479,WSS
