count,mean,std,min,25%,50%,75%,max,Subset,Dataset
921.0,0.020120120407177186,0.012106127482367767,0.0090136185441284,0.0118375379129824,0.0161156625174418,0.0240623306629955,0.1043040876098306,Positive,E:\SignalModel\price features\0.009\new_analysis_dataframe.csv
921.0,-0.01881201851622222,0.010310990156184576,-0.1161657912928215,-0.0228086679539865,-0.0156889575969641,-0.011708082820954,-0.0090015883646516,Negative,E:\SignalModel\price features\0.009\new_analysis_dataframe.csv
758.0,0.02237031595443134,0.013269385812307308,0.0100050316728812,0.013037828187613974,0.01820915198630415,0.026810189566894176,0.1043040876098306,Positive,E:\SignalModel\price features\0.01\new_analysis_dataframe.csv
758.0,-0.02082296592939635,0.01114639346056502,-0.1161657912928215,-0.0250779248320224,-0.017354076427292503,-0.0131833662657282,-0.0100139481306192,Negative,E:\SignalModel\price features\0.01\new_analysis_dataframe.csv
634.0,0.024709530663694537,0.01462214244393299,0.011003663714515,0.0146746176658526,0.0199172100508583,0.0300508094925474,0.1043040876098306,Positive,E:\SignalModel\price features\0.011\new_analysis_dataframe.csv
634.0,-0.022843951087672086,0.012650899598509869,-0.1161657912928215,-0.026707682237584674,-0.019435431388768402,-0.01422652657138095,-0.0110253943578513,Negative,E:\SignalModel\price features\0.011\new_analysis_dataframe.csv
523.0,0.027548845011913813,0.01745019485321972,0.0120259052914707,0.01603734655663715,0.0220617353740487,0.03237369899206715,0.1532953224051915,Positive,E:\SignalModel\price features\0.012\new_analysis_dataframe.csv
523.0,-0.025247517103587178,0.014440200636854288,-0.1644174796528863,-0.02935754626027645,-0.0212973245598234,-0.01586462725757765,-0.0120537266316305,Negative,E:\SignalModel\price features\0.012\new_analysis_dataframe.csv
452.0,0.029912924251766178,0.018382342961073106,0.0130228008127022,0.0180294363238245,0.024235742730928052,0.03466767963658962,0.1532953224051915,Positive,E:\SignalModel\price features\0.013\new_analysis_dataframe.csv
452.0,-0.027246476304951438,0.01554226348465415,-0.1644174796528863,-0.031705921474560174,-0.0229529770974491,-0.0169806155573457,-0.013125572336003,Negative,E:\SignalModel\price features\0.013\new_analysis_dataframe.csv
396.0,0.032252592790136154,0.02013243855664521,0.0140483013316579,0.018948399668768774,0.02637040715094555,0.0371577408979306,0.1532953224051915,Positive,E:\SignalModel\price features\0.014\new_analysis_dataframe.csv
396.0,-0.02919458738656606,0.016292117499480088,-0.1644174796528863,-0.03448443939024215,-0.02445964612764385,-0.01869653507271025,-0.0140777779232169,Negative,E:\SignalModel\price features\0.014\new_analysis_dataframe.csv
345.0,0.03488040862007776,0.0218899061720226,0.0150116783450117,0.0201347015056948,0.0288312876660461,0.0405550999886274,0.1532953224051915,Positive,E:\SignalModel\price features\0.015\new_analysis_dataframe.csv
345.0,-0.031354386997231545,0.017292159349962474,-0.1644174796528863,-0.036970280494093,-0.0261098020869585,-0.0198125683887183,-0.0150766148681574,Negative,E:\SignalModel\price features\0.015\new_analysis_dataframe.csv
308.0,0.037216327419710114,0.022764107671087275,0.0160192784729081,0.021904749641905023,0.03085879638621365,0.043433208272874876,0.1532953224051915,Positive,E:\SignalModel\price features\0.016\new_analysis_dataframe.csv
309.0,-0.03320895281382559,0.018134013815376673,-0.1644174796528863,-0.0392815676303276,-0.0270645182249366,-0.0212712753746762,-0.0160837983001863,Negative,E:\SignalModel\price features\0.016\new_analysis_dataframe.csv
277.0,0.03955065132387613,0.02385490155447941,0.0174710863202734,0.0237754323882999,0.0318305649959453,0.046733862948891,0.1532953224051915,Positive,E:\SignalModel\price features\0.017\new_analysis_dataframe.csv
278.0,-0.03507322017347162,0.01934471262163106,-0.1644174796528863,-0.04171441516910978,-0.0282576620552326,-0.022128561932373753,-0.0170501999714811,Negative,E:\SignalModel\price features\0.017\new_analysis_dataframe.csv
256.0,0.04135886249144549,0.024685448055413894,0.0180116875201663,0.024166443873573723,0.033372838306427496,0.04918185242201957,0.1641159810989277,Positive,E:\SignalModel\price features\0.018\new_analysis_dataframe.csv
257.0,-0.03650945144784432,0.01979850772551039,-0.1644174796528863,-0.0432253918471963,-0.0292962872913813,-0.0229495352648841,-0.0180377751150911,Negative,E:\SignalModel\price features\0.018\new_analysis_dataframe.csv
235.0,0.043417521286460474,0.026016849666074544,0.0194040490447676,0.0261362226569429,0.0339136772742414,0.051765420913841245,0.1812798185601276,Positive,E:\SignalModel\price features\0.019\new_analysis_dataframe.csv
235.0,-0.03820261909393086,0.020441490537226676,-0.1644174796528863,-0.04509147340823245,-0.0312614886126429,-0.023663755862406703,-0.0190057343548462,Negative,E:\SignalModel\price features\0.019\new_analysis_dataframe.csv
212.0,0.046022037257725024,0.027903123454933024,0.0200541558423707,0.027381561187255377,0.03554313016069865,0.0527136514123646,0.1812798185601276,Positive,E:\SignalModel\price features\0.02\new_analysis_dataframe.csv
212.0,-0.040233677708489214,0.020765689643081512,-0.1644174796528863,-0.04766278147092283,-0.03361709708158655,-0.0257930914453803,-0.0200355321221847,Negative,E:\SignalModel\price features\0.02\new_analysis_dataframe.csv
